,x,y,z
571,284,20,0
572,288,20,0
573,292,20,0
574,296,20,0
575,300,20,0
576,304,20,0
577,308,20,0
578,312,20,0
579,316,20,0
580,320,20,0
581,324,20,0
582,328,20,0
583,332,20,0
584,336,20,0
585,340,20,0
586,344,20,0
587,348,20,0
588,352,20,0
589,356,20,0
590,360,20,0
591,364,20,0
592,368,20,0
593,372,20,0
594,376,20,0
595,380,20,0
596,384,20,0
597,388,20,0
598,392,20,0
599,396,20,0
600,0,24,0
601,4,24,0
602,8,24,0
603,12,24,0
604,16,24,0
605,20,24,0
606,24,24,0
607,28,24,0
608,32,24,0
609,36,24,0
610,40,24,210.0
611,44,24,0
612,48,24,0
613,52,24,0
614,56,24,0
615,60,24,0
616,64,24,0
617,68,24,0
618,72,24,0
619,76,24,0
620,80,24,0
621,84,24,0
622,88,24,222.5
623,92,24,0
624,96,24,0
625,100,24,0
626,104,24,0
627,108,24,0
628,112,24,0
629,116,24,0
630,120,24,0
631,124,24,0
632,128,24,0
633,132,24,0
634,136,24,0
635,140,24,0
636,144,24,0
637,148,24,0
638,152,24,0
639,156,24,0
640,160,24,0
641,164,24,0
642,168,24,0
643,172,24,0
644,176,24,0
645,180,24,222.5
646,184,24,0
647,188,24,0
648,192,24,0
649,196,24,0
650,200,24,0
651,204,24,0
652,208,24,0
653,212,24,0
654,216,24,0
655,220,24,0
656,224,24,0
657,228,24,0
658,232,24,0
659,236,24,0
660,240,24,0
661,244,24,0
662,248,24,0
663,252,24,0
664,256,24,0
665,260,24,0
666,264,24,0
667,268,24,0
668,272,24,0
669,276,24,0
670,280,24,0
671,284,24,0
672,288,24,0
673,292,24,0
674,296,24,0
675,300,24,0
676,304,24,0
677,308,24,0
678,312,24,0
679,316,24,0
680,320,24,0
681,324,24,0
682,328,24,0
683,332,24,0
684,336,24,0
685,340,24,0
686,344,24,0
687,348,24,0
688,352,24,0
689,356,24,0
690,360,24,0
691,364,24,0
692,368,24,0
693,372,24,0
694,376,24,0
695,380,24,0
696,384,24,0
697,388,24,0
698,392,24,0
699,396,24,0
700,0,28,0
701,4,28,0
702,8,28,0
703,12,28,0
704,16,28,0
705,20,28,0
706,24,28,0
707,28,28,0
708,32,28,0
709,36,28,210.0
710,40,28,0
711,44,28,0
712,48,28,0
713,52,28,0
714,56,28,0
715,60,28,0
716,64,28,0
717,68,28,0
718,72,28,0
719,76,28,0
